"Name","Function","Details","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Sunday","Score","NumOfReviews","Indoor/Outdoors","Longitude","Latitude","Image"
"Gyeongbokgung Palace","Palace","서울특별시에 있는 조선시대의 궁궐 중 하나이며, 조선의 정궁이기도 하다. 사적 제117호로 지정되어 있다. 서울특별시 종로구 사직로 161소재. 조선의 법궁이다.","9AM–6PM","Closed","9AM–6PM","9AM–6PM","9AM–6PM","9AM–6PM","9AM–6PM",4.6,"12,779","Outdoor",126.974847,37.579617,"Gyeongbokgung Palace.jpg"
"Seoul Namsan Tower","Tower","대한민국을 대표하는 명실상부한 랜드마크 중 하나. 서울의 대표적인 랜드마크 중 하나. 타워 자체의 높이는 236.7m로, 에펠탑이나 도쿄 타워 등 다른 랜드마크에 비하면 낮은 높이지만 남산의 해발고도까지 합하면 479.7m가 된다. 전망대는 CJ푸드빌에서, 지하 상업시설은 YTN에서 운영하고 있다.","10AM–11PM","10AM–11PM","10AM–11PM","10AM–11PM","10AM–11PM","10AM–0PM","10AM–11PM",4.4,"16,784","Indoor",126.9860326,37.5511694,"N Seoul Tower.jpg"
"Changdeokgung","Palace","서울특별시에 있는 조선 – 대한제국시대 궁궐 중 하나. 1997년 유네스코 세계유산으로 등재되었다.","Closed","9AM–5PM","9AM–5PM","9AM–5PM","9AM–5PM","9AM–5PM","9AM–5PM",4.6,"3,657","Outdoor",126.9888087,37.5792907,"Changdeokgung.jpg"
"Bukchon Hanok Village","Historic–Culture Area","서울특별시 종로구 가회동, 삼청동 내의 한옥 밀집지역을 칭한다.","9AM–6PM","9AM–6PM","9AM–6PM","9AM–6PM","9AM–6PM","9AM–5PM","9AM–5PM",4.3,"4,848","Outdoor",126.9814591,37.5824075,"Bukchon Hanok Village.jpg"
"Lotte World","Theme Park","서울특별시 송파구 올림픽로 240(잠실동)에 위치한 건물로, 테마파크, 백화점, 호텔, 면세점, 대형 할인점이 한 곳에 모여 있는 대단위 복합 생활공간(CLT:Complex Life Town)을 표방하고 있다.","9:30AM–10PM","9:30AM–10PM","9:30AM–10PM","9:30AM–10PM","9:30AM–11PM","9:30AM–11PM","Closed",4.2,"13,061","Indoor/Outdoors",127.0969224,37.5112808,"Lotte World.jpg"
"Namsan Park","Park","서울특별시 중구와 용산구 사이에 있는 서울 시립공원. 예전에는 '한양공원(漢陽公園)으로 불렀으나 뒷날 지금의 이름으로 바뀌었다. 서울 남산을 중심으로 조성된 공원이며 가장 광활한 규모와 면적이다.","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours",4.5,179,"Outdoor",126.9887051,37.5509895,"Namsan Park.jpg"
"Namdaemun Market","Market","서울특별시 중구 회현동 숭례문 앞에 위치해 있는 서울특별시 도심 최대의 전문 재래시장. ",,,,,,,,4.1,"7,997","Outdoor",126.9754752,37.5591786,"Namdaemun Market.jpg"
"Cheonggyecheon","Tourist Attraction","서울의 한복판인 종로구와 중구와의 경계를 흐르는 하천. 한성(서울)내의 모든 물이 여기에 모여 동쪽으로 흐르다가 왕십리 밖 살곶이다리(현 한양대 서울캠퍼스 인근) 근처에서 중랑천과 합쳐 서쪽으로 흐름을 바꾸어 한강으로 빠진다.","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours","Open 24 hours",4.1,"1,301","Outdoor",127.0224388,37.5713521,"Cheonggyecheon.jpg"
"Deoksugung","Palace","서울특별시 중구 세종대로 99(정동 5–1) 서울특별시청 건너편에 있는 조선 시대에 지어진 궁궐.","Closed","9AM–9PM","9AM–9PM","9AM–9PM","9AM–9PM","9AM–9PM","9AM–9PM",4.4,"5,077","Outdoor",126.9701883,37.5664117,"Deoksugung.jpg"
"Dongdaemun Market","Market","종로 4가와 청계 4가에서 시작하여 흥인지문 인근까지 이어져 있는 재래시장과 쇼핑센터의 복합시장단지. 다른 말로 동대문종합시장, 동대문쇼핑타운, 동대문패션타운 등으로도 불린다.","9AM–6PM","9AM–6PM","9AM–6PM","9AM–6PM","9AM–6PM","9AM–6PM","Closed",4,"1,276","Outdoor",127.0014781,37.5693936,"Dongdaemun Market.jpg"
"Gwanghwamun Gate","Historical Landmark","조선 왕조의 정궁인 경복궁의 정문을 가리키는 말. 다만 일반 대중들에겐 정문을 지칭하는 것 외에도 '광화문' 자체가 세종대로, 광화문광장 등을 비롯한 일대를 통칭하는 지명으로 많이 쓰이고 있다. ","8AM–5PM","8AM–5PM","8AM–5PM","8AM–5PM","8AM–5PM","8AM–5PM","8AM–5PM",4.5,"4,012","Outdoor",126.9746217,37.5759369,"Gwanghwamun Gate.jpg"
"Sungnyemun Gate","Historical Landmark","600년 동안 한양을 둘러싸고 있었던 한양도성의 남쪽에 위치한 문. 현재도 서울시의 중심에 위치하고 있다. 대한민국 국보 1호. 서울의 상징이나 다름 없는 건축물이다.","Closed","9AM–6PM","9AM–6PM","9AM–6PM","9AM–6PM","9AM–6PM","9AM–6PM",4.3,"2,606","Outdoor",126.9741131,37.5600716,"Sungnyemun Gate.jpg"
"Changgyeonggung Palace","Palace","조선 시대의 궁궐 중 하나. 일제강점기 및 해방 후 40여 년 동안 '창경원(昌慶苑)'이라는 이름으로 불렸으나 1986년 궁궐 복원에 따라 창경궁으로 환원되었다. 서울특별시 종로구 와룡동에 있다.
조선 시대에는 창덕궁과 연결되어 동궐로 불리면서 실질적으로 하나의 궁궐 역할을 했다.","Closed","9AM–5:30PM","9AM–5:30PM","9AM–5:30PM","9AM–5:30PM","9AM–5:30PM","9AM–5:30PM",4.5,879,"Outdoor",126.9907223,37.5791008,"Changgyeonggung Palace.jpg"
"Jongmyo Shrine","Historical Landmark","조선 시대 역대 왕과 왕비 및 추존된 왕과 왕비의 신주(神主)를 모신 왕실의 유교 사당.  '종묘사직'이란 말에서 알 수 있듯 전제왕조 당시 왕실과 나라를 상징하는 건물 중 하나였다. ",,,,,,,,4.5,237,"Outdoor",126.991949,37.574583,"Jongmyo Shrine.jpg"
